dose,agegroup,n,UF
D1 only,5,238765,PA
D1 only,6,160072,PA
D1 only,7,92375,PA
D1 only,8,37021,PA
D1 only,9,17057,PA
D1 only,10,7751,PA
D1 only,11,1787,PA
D1+D2+DU+R,1,0,PA
D1+D2+DU+R,2,0,PA
D1+D2+DU+R,3,0,PA
D1+D2+DU+R,4,0,PA
D1+D2+DU+R,5,4,PA
D1+D2+DU+R,6,5,PA
D1+D2+DU+R,7,0,PA
D1+D2+DU+R,8,2,PA
D1+D2+DU+R,9,2,PA
D1+D2+DU+R,10,0,PA
D1+D2+DU+R,11,0,PA
DU only,1,2,PA
DU only,2,2,PA
DU only,3,69,PA
DU only,4,25178,PA
DU only,5,34085,PA
DU only,6,32503,PA
DU only,7,14726,PA
DU only,8,1836,PA
DU only,9,536,PA
DU only,10,149,PA
DU only,11,33,PA
R+DU,1,0,PA
R+DU,2,0,PA
R+DU,3,1,PA
R+DU,4,2,PA
R+DU,5,4,PA
R+DU,6,5,PA
R+DU,7,4,PA
R+DU,8,3,PA
R+DU,9,1,PA
R+DU,10,1,PA
R+DU,11,0,PA
(D1+D2) only,1,5,PB
(D1+D2) only,2,98,PB
(D1+D2) only,3,190904,PB
(D1+D2) only,4,494567,PB
(D1+D2) only,5,415600,PB
(D1+D2) only,6,336440,PB
(D1+D2) only,7,232280,PB
(D1+D2) only,8,109050,PB
(D1+D2) only,9,49510,PB
(D1+D2) only,10,26877,PB
(D1+D2) only,11,6458,PB
(D1+D2+DU) only,1,0,PB
(D1+D2+DU) only,2,0,PB
(D1+D2+DU) only,3,10,PB
(D1+D2+DU) only,4,18,PB
(D1+D2+DU) only,5,62,PB
(D1+D2+DU) only,6,40,PB
(D1+D2+DU) only,7,35,PB
(D1+D2+DU) only,8,1,PB
(D1+D2+DU) only,9,0,PB
(D1+D2+DU) only,10,0,PB
(D1+D2+DU) only,11,0,PB
(D1+D2+R) only,1,0,PB
(D1+D2+R) only,2,1,PB
(D1+D2+R) only,3,163,PB
(D1+D2+R) only,4,70166,PB
(D1+D2+R) only,5,90455,PB
(D1+D2+R) only,6,110587,PB
(D1+D2+R) only,7,151535,PB
(D1+D2+R) only,8,175921,PB
(D1+D2+R) only,9,124516,PB
(D1+D2+R) only,10,48779,PB
(D1+D2+R) only,11,11014,PB
(D1+DU) only,1,0,PB
(D1+DU) only,2,0,PB
(D1+DU) only,3,10,PB
(D1+DU) only,4,4,PB
(D1+DU) only,5,11,PB
(D1+DU) only,6,52,PB
(D1+DU) only,7,42,PB
(D1+DU) only,8,3,PB
(D1+DU) only,9,3,PB
(D1+DU) only,10,0,PB
(D1+DU) only,11,0,PB
(D1+R) only,1,0,PB
(D1+R) only,2,2,PB
(D1+R) only,3,1325,PB
(D1+R) only,4,2873,PB
(D1+R) only,5,3465,PB
(D1+R) only,6,4183,PB
(D1+R) only,7,5028,PB
(D1+R) only,8,5504,PB
(D1+R) only,9,3822,PB
(D1+R) only,10,1862,PB
(D1+R) only,11,366,PB
(D2+DU) only,1,0,PB
(D2+DU) only,2,0,PB
(D2+DU) only,3,0,PB
(D2+DU) only,4,51,PB
(D2+DU) only,5,112,PB
(D2+DU) only,6,284,PB
(D2+DU) only,7,215,PB
(D2+DU) only,8,4,PB
(D2+DU) only,9,0,PB
(D2+DU) only,10,0,PB
(D2+DU) only,11,0,PB
(D2+R+DU) only,1,0,PB
(D2+R+DU) only,2,0,PB
(D2+R+DU) only,3,0,PB
(D2+R+DU) only,4,19,PB
(D2+R+DU) only,5,29,PB
(D2+R+DU) only,6,80,PB
(D2+R+DU) only,7,175,PB
(D2+R+DU) only,8,1,PB
(D2+R+DU) only,9,0,PB
(D2+R+DU) only,10,0,PB
(D2+R+DU) only,11,0,PB
(R+DU) only,1,0,PB
(R+DU) only,2,0,PB
(R+DU) only,3,4,PB
(R+DU) only,4,1054,PB
(R+DU) only,5,3635,PB
(R+DU) only,6,12766,PB
(R+DU) only,7,6604,PB
(R+DU) only,8,155,PB
(R+DU) only,9,33,PB
(R+DU) only,10,12,PB
(R+DU) only,11,1,PB
D1 only,1,12,PB
D1 only,2,34168,PB
D1 only,3,127812,PB
D1 only,4,139641,PB
D1 only,5,86551,PB
D1 only,6,64591,PB
D1 only,7,38190,PB
D1 only,8,14489,PB
D1 only,9,7029,PB
D1 only,10,4426,PB
D1 only,11,1198,PB
D1+D2+DU+R,1,0,PB
D1+D2+DU+R,2,0,PB
D1+D2+DU+R,3,0,PB
D1+D2+DU+R,4,22,PB
D1+D2+DU+R,5,27,PB
D1+D2+DU+R,6,45,PB
D1+D2+DU+R,7,58,PB
D1+D2+DU+R,8,0,PB
D1+D2+DU+R,9,1,PB
D1+D2+DU+R,10,0,PB
D1+D2+DU+R,11,1,PB
DU only,1,0,PB
DU only,2,0,PB
DU only,3,8,PB
DU only,4,1089,PB
DU only,5,3231,PB
DU only,6,10763,PB
DU only,7,5219,PB
DU only,8,273,PB
DU only,9,64,PB
DU only,10,25,PB
DU only,11,9,PB
R+DU,1,0,PB
R+DU,2,0,PB
R+DU,3,0,PB
R+DU,4,2,PB
R+DU,5,4,PB
R+DU,6,11,PB
R+DU,7,10,PB
R+DU,8,1,PB
R+DU,9,0,PB
R+DU,10,0,PB
R+DU,11,0,PB
(D1+D2) only,1,135,PE
(D1+D2) only,2,484,PE
(D1+D2) only,3,394363,PE
(D1+D2) only,4,1079465,PE
(D1+D2) only,5,900030,PE
(D1+D2) only,6,758462,PE
(D1+D2) only,7,587441,PE
(D1+D2) only,8,296172,PE
(D1+D2) only,9,127376,PE
(D1+D2) only,10,57741,PE
(D1+D2) only,11,13245,PE
(D1+D2+DU) only,1,2,PE
(D1+D2+DU) only,2,2,PE
(D1+D2+DU) only,3,26,PE
(D1+D2+DU) only,4,11941,PE
(D1+D2+DU) only,5,16784,PE
(D1+D2+DU) only,6,14736,PE
(D1+D2+DU) only,7,15242,PE
(D1+D2+DU) only,8,61278,PE
(D1+D2+DU) only,9,58725,PE
(D1+D2+DU) only,10,23301,PE
(D1+D2+DU) only,11,4213,PE
(D1+D2+R) only,1,0,PE
(D1+D2+R) only,2,1,PE
(D1+D2+R) only,3,305,PE
(D1+D2+R) only,4,111987,PE
(D1+D2+R) only,5,160753,PE
(D1+D2+R) only,6,204197,PE
(D1+D2+R) only,7,244945,PE
(D1+D2+R) only,8,262802,PE
(D1+D2+R) only,9,172384,PE
(D1+D2+R) only,10,57226,PE
(D1+D2+R) only,11,10405,PE
(D1+DU) only,1,0,PE
(D1+DU) only,2,1,PE
(D1+DU) only,3,17,PE
(D1+DU) only,4,805,PE
(D1+DU) only,5,1621,PE
(D1+DU) only,6,1236,PE
(D1+DU) only,7,2846,PE
(D1+DU) only,8,1570,PE
(D1+DU) only,9,841,PE
(D1+DU) only,10,576,PE
(D1+DU) only,11,177,PE
(D1+R) only,1,1,PE
(D1+R) only,2,4,PE
(D1+R) only,3,2041,PE
(D1+R) only,4,7443,PE
(D1+R) only,5,9007,PE
(D1+R) only,6,10559,PE
(D1+R) only,7,12082,PE
(D1+R) only,8,14817,PE
(D1+R) only,9,9547,PE
(D1+R) only,10,5300,PE
(D1+R) only,11,859,PE
(D2+DU) only,1,0,PE
(D2+DU) only,2,4,PE
(D2+DU) only,3,1,PE
(D2+DU) only,4,574,PE
(D2+DU) only,5,971,PE
(D2+DU) only,6,2189,PE
(D2+DU) only,7,725,PE
(D2+DU) only,8,883,PE
(D2+DU) only,9,237,PE
(D2+DU) only,10,203,PE
(D2+DU) only,11,33,PE
(D2+R+DU) only,1,0,PE
(D2+R+DU) only,2,0,PE
(D2+R+DU) only,3,0,PE
(D2+R+DU) only,4,6,PE
(D2+R+DU) only,5,15,PE
(D2+R+DU) only,6,21,PE
(D2+R+DU) only,7,5,PE
(D2+R+DU) only,8,1,PE
(D2+R+DU) only,9,0,PE
(D2+R+DU) only,10,0,PE
(D2+R+DU) only,11,0,PE
(R+DU) only,1,0,PE
(R+DU) only,2,0,PE
(R+DU) only,3,7,PE
(R+DU) only,4,4631,PE
(R+DU) only,5,12615,PE
(R+DU) only,6,29433,PE
(R+DU) only,7,3630,PE
(R+DU) only,8,257,PE
(R+DU) only,9,43,PE
(R+DU) only,10,19,PE
(R+DU) only,11,1,PE
D1 only,1,138,PE
D1 only,2,45661,PE
D1 only,3,327656,PE
D1 only,4,392527,PE
D1 only,5,254727,PE
D1 only,6,200755,PE
D1 only,7,120141,PE
D1 only,8,47342,PE
D1 only,9,21169,PE
D1 only,10,14941,PE
D1 only,11,4319,PE
D1+D2+DU+R,1,0,PE
D1+D2+DU+R,2,0,PE
D1+D2+DU+R,3,0,PE
D1+D2+DU+R,4,16,PE
D1+D2+DU+R,5,16,PE
D1+D2+DU+R,6,18,PE
D1+D2+DU+R,7,18,PE
D1+D2+DU+R,8,13,PE
D1+D2+DU+R,9,13,PE
D1+D2+DU+R,10,3,PE
D1+D2+DU+R,11,0,PE
DU only,1,10,PE
DU only,2,21,PE
DU only,3,33,PE
DU only,4,7763,PE
DU only,5,17669,PE
DU only,6,31407,PE
DU only,7,7575,PE
DU only,8,2134,PE
DU only,9,1675,PE
DU only,10,644,PE
DU only,11,139,PE
R+DU,1,0,PE
R+DU,2,0,PE
R+DU,3,0,PE
R+DU,4,6,PE
R+DU,5,13,PE
R+DU,6,18,PE
R+DU,7,9,PE
R+DU,8,2,PE
R+DU,9,2,PE
R+DU,10,1,PE
R+DU,11,1,PE
(D1+D2) only,1,5,PI
(D1+D2) only,2,134,PI
(D1+D2) only,3,171755,PI
(D1+D2) only,4,400805,PI
(D1+D2) only,5,345641,PI
(D1+D2) only,6,278990,PI
(D1+D2) only,7,190878,PI
(D1+D2) only,8,104900,PI
(D1+D2) only,9,40844,PI
(D1+D2) only,10,20145,PI
(D1+D2) only,11,4556,PI
(D1+D2+DU) only,1,0,PI
(D1+D2+DU) only,2,0,PI
(D1+D2+DU) only,3,11,PI
(D1+D2+DU) only,4,2,PI
(D1+D2+DU) only,5,4,PI
(D1+D2+DU) only,6,10,PI
(D1+D2+DU) only,7,12,PI
(D1+D2+DU) only,8,9,PI
(D1+D2+DU) only,9,12,PI
(D1+D2+DU) only,10,3,PI
(D1+D2+DU) only,11,1,PI
(D1+D2+R) only,1,0,PI
(D1+D2+R) only,2,0,PI
(D1+D2+R) only,3,91,PI
(D1+D2+R) only,4,50501,PI
(D1+D2+R) only,5,72781,PI
(D1+D2+R) only,6,87318,PI
(D1+D2+R) only,7,120707,PI
(D1+D2+R) only,8,129418,PI
(D1+D2+R) only,9,95628,PI
(D1+D2+R) only,10,37901,PI
(D1+D2+R) only,11,8102,PI
(D1+DU) only,1,0,PI
(D1+DU) only,2,0,PI
(D1+DU) only,3,27,PI
(D1+DU) only,4,10,PI
(D1+DU) only,5,4,PI
(D1+DU) only,6,9,PI
(D1+DU) only,7,6,PI
(D1+DU) only,8,0,PI
(D1+DU) only,9,0,PI
(D1+DU) only,10,0,PI
(D1+DU) only,11,0,PI
(D1+R) only,1,0,PI
(D1+R) only,2,3,PI
(D1+R) only,3,1310,PI
(D1+R) only,4,2993,PI
(D1+R) only,5,3586,PI
(D1+R) only,6,3522,PI
(D1+R) only,7,4313,PI
(D1+R) only,8,4739,PI
(D1+R) only,9,2864,PI
(D1+R) only,10,1564,PI
(D1+R) only,11,343,PI
(D2+DU) only,1,0,PI
(D2+DU) only,2,0,PI
(D2+DU) only,3,0,PI
(D2+DU) only,4,21,PI
(D2+DU) only,5,26,PI
(D2+DU) only,6,68,PI
(D2+DU) only,7,26,PI
(D2+DU) only,8,0,PI
(D2+DU) only,9,0,PI
(D2+DU) only,10,0,PI
(D2+DU) only,11,0,PI
(D2+R+DU) only,1,0,PI
(D2+R+DU) only,2,0,PI
(D2+R+DU) only,3,0,PI
(D2+R+DU) only,4,0,PI
(D2+R+DU) only,5,3,PI
(D2+R+DU) only,6,4,PI
(D2+R+DU) only,7,9,PI
(D2+R+DU) only,8,1,PI
(D2+R+DU) only,9,0,PI
(D2+R+DU) only,10,0,PI
(D2+R+DU) only,11,2,PI
(R+DU) only,1,0,PI
(R+DU) only,2,0,PI
(R+DU) only,3,2,PI
(R+DU) only,4,2520,PI
(R+DU) only,5,3361,PI
(R+DU) only,6,12997,PI
(R+DU) only,7,5071,PI
(R+DU) only,8,109,PI
(R+DU) only,9,18,PI
(R+DU) only,10,4,PI
(R+DU) only,11,0,PI
D1 only,1,11,PI
D1 only,2,38662,PI
D1 only,3,94329,PI
D1 only,4,110401,PI
D1 only,5,65915,PI
D1 only,6,42974,PI
D1 only,7,23116,PI
D1 only,8,11250,PI
D1 only,9,4743,PI
D1 only,10,3325,PI
D1 only,11,818,PI
D1+D2+DU+R,1,0,PI
D1+D2+DU+R,2,0,PI
D1+D2+DU+R,3,0,PI
D1+D2+DU+R,4,1,PI
D1+D2+DU+R,5,1,PI
D1+D2+DU+R,6,4,PI
D1+D2+DU+R,7,3,PI
D1+D2+DU+R,8,0,PI
D1+D2+DU+R,9,2,PI
D1+D2+DU+R,10,0,PI
D1+D2+DU+R,11,0,PI
DU only,1,1,PI
DU only,2,7,PI
DU only,3,37,PI
DU only,4,3139,PI
DU only,5,4549,PI
DU only,6,12606,PI
DU only,7,5225,PI
DU only,8,196,PI
DU only,9,43,PI
DU only,10,17,PI
DU only,11,6,PI
R+DU,1,0,PI
R+DU,2,0,PI
R+DU,3,0,PI
R+DU,4,0,PI
R+DU,5,0,PI
R+DU,6,7,PI
R+DU,7,4,PI
R+DU,8,2,PI
R+DU,9,1,PI
R+DU,10,0,PI
R+DU,11,0,PI
(D1+D2) only,1,44,PR
(D1+D2) only,2,271,PR
(D1+D2) only,3,512412,PR
(D1+D2) only,4,1462148,PR
(D1+D2) only,5,1132792,PR
(D1+D2) only,6,870133,PR
(D1+D2) only,7,679041,PR
(D1+D2) only,8,352181,PR
(D1+D2) only,9,112166,PR
(D1+D2) only,10,55921,PR
(D1+D2) only,11,9724,PR
(D1+D2+DU) only,1,1,PR
(D1+D2+DU) only,2,0,PR
(D1+D2+DU) only,3,36,PR
(D1+D2+DU) only,4,6124,PR
(D1+D2+DU) only,5,9819,PR
(D1+D2+DU) only,6,13573,PR
(D1+D2+DU) only,7,19548,PR
(D1+D2+DU) only,8,18606,PR
(D1+D2+DU) only,9,12223,PR
(D1+D2+DU) only,10,3655,PR
(D1+D2+DU) only,11,491,PR
(D1+D2+R) only,1,4,PR
(D1+D2+R) only,2,5,PR
(D1+D2+R) only,3,413,PR
(D1+D2+R) only,4,215087,PR
(D1+D2+R) only,5,314027,PR
(D1+D2+R) only,6,444028,PR
(D1+D2+R) only,7,625728,PR
(D1+D2+R) only,8,601975,PR
(D1+D2+R) only,9,391665,PR
(D1+D2+R) only,10,132363,PR
(D1+D2+R) only,11,22043,PR
(D1+DU) only,1,0,PR
(D1+DU) only,2,1,PR
(D1+DU) only,3,110,PR
(D1+DU) only,4,575,PR
(D1+DU) only,5,895,PR
(D1+DU) only,6,1064,PR
(D1+DU) only,7,1589,PR
(D1+DU) only,8,1170,PR
(D1+DU) only,9,693,PR
(D1+DU) only,10,233,PR
(D1+DU) only,11,42,PR
(D1+R) only,1,0,PR
(D1+R) only,2,7,PR
(D1+R) only,3,4000,PR
(D1+R) only,4,6351,PR
(D1+R) only,5,6479,PR
(D1+R) only,6,8833,PR
(D1+R) only,7,9699,PR
(D1+R) only,8,10668,PR
(D1+R) only,9,8054,PR
(D1+R) only,10,3244,PR
(D1+R) only,11,627,PR
(D2+DU) only,1,0,PR
(D2+DU) only,2,0,PR
(D2+DU) only,3,17,PR
(D2+DU) only,4,580,PR
(D2+DU) only,5,1013,PR
(D2+DU) only,6,1215,PR
(D2+DU) only,7,1013,PR
(D2+DU) only,8,1263,PR
(D2+DU) only,9,512,PR
(D2+DU) only,10,255,PR
(D2+DU) only,11,60,PR
(D2+R+DU) only,1,0,PR
(D2+R+DU) only,2,0,PR
(D2+R+DU) only,3,0,PR
(D2+R+DU) only,4,5,PR
(D2+R+DU) only,5,13,PR
(D2+R+DU) only,6,34,PR
(D2+R+DU) only,7,1,PR
(D2+R+DU) only,8,2,PR
(D2+R+DU) only,9,1,PR
(D2+R+DU) only,10,1,PR
(D2+R+DU) only,11,0,PR
(R+DU) only,1,1,PR
(R+DU) only,2,1,PR
(R+DU) only,3,4,PR
(R+DU) only,4,15517,PR
(R+DU) only,5,56099,PR
(R+DU) only,6,87203,PR
(R+DU) only,7,7851,PR
(R+DU) only,8,481,PR
(R+DU) only,9,84,PR
(R+DU) only,10,21,PR
(R+DU) only,11,2,PR
D1 only,1,83,PR
D1 only,2,126883,PR
D1 only,3,293139,PR
D1 only,4,330641,PR
D1 only,5,164745,PR
D1 only,6,99227,PR
D1 only,7,64251,PR
D1 only,8,32293,PR
D1 only,9,10449,PR
D1 only,10,7773,PR
D1 only,11,1672,PR
D1+D2+DU+R,1,0,PR
D1+D2+DU+R,2,0,PR
D1+D2+DU+R,3,1,PR
D1+D2+DU+R,4,16,PR
D1+D2+DU+R,5,42,PR
D1+D2+DU+R,6,42,PR
D1+D2+DU+R,7,38,PR
D1+D2+DU+R,8,50,PR
D1+D2+DU+R,9,157,PR
D1+D2+DU+R,10,10,PR
D1+D2+DU+R,11,2,PR
DU only,1,2,PR
DU only,2,12,PR
DU only,3,57,PR
DU only,4,19985,PR
DU only,5,52498,PR
DU only,6,71626,PR
DU only,7,11784,PR
DU only,8,1683,PR
DU only,9,600,PR
DU only,10,171,PR
DU only,11,35,PR
R+DU,1,0,PR
R+DU,2,0,PR
R+DU,3,1,PR
R+DU,4,8,PR
R+DU,5,31,PR
R+DU,6,43,PR
R+DU,7,9,PR
R+DU,8,9,PR
R+DU,9,1,PR
R+DU,10,0,PR
R+DU,11,0,PR
(D1+D2) only,1,26,RJ
(D1+D2) only,2,535,RJ
(D1+D2) only,3,667745,RJ
(D1+D2) only,4,1779470,RJ
(D1+D2) only,5,1464031,RJ
(D1+D2) only,6,1222227,RJ
(D1+D2) only,7,1037195,RJ
(D1+D2) only,8,562722,RJ
(D1+D2) only,9,230451,RJ
(D1+D2) only,10,104169,RJ
(D1+D2) only,11,26953,RJ
(D1+D2+DU) only,1,0,RJ
(D1+D2+DU) only,2,0,RJ
(D1+D2+DU) only,3,1,RJ
(D1+D2+DU) only,4,65,RJ
(D1+D2+DU) only,5,94,RJ
(D1+D2+DU) only,6,125,RJ
(D1+D2+DU) only,7,90,RJ
(D1+D2+DU) only,8,38,RJ
(D1+D2+DU) only,9,44,RJ
(D1+D2+DU) only,10,7,RJ
(D1+D2+DU) only,11,2,RJ
(D1+D2+R) only,1,1,RJ
(D1+D2+R) only,2,6,RJ
(D1+D2+R) only,3,1486,RJ
(D1+D2+R) only,4,290139,RJ
(D1+D2+R) only,5,425056,RJ
(D1+D2+R) only,6,558822,RJ
(D1+D2+R) only,7,709717,RJ
(D1+D2+R) only,8,890494,RJ
(D1+D2+R) only,9,530682,RJ
(D1+D2+R) only,10,196585,RJ
(D1+D2+R) only,11,33113,RJ
(D1+DU) only,1,0,RJ
(D1+DU) only,2,0,RJ
(D1+DU) only,3,13,RJ
(D1+DU) only,4,151,RJ
(D1+DU) only,5,167,RJ
(D1+DU) only,6,229,RJ
(D1+DU) only,7,107,RJ
(D1+DU) only,8,56,RJ
(D1+DU) only,9,8,RJ
(D1+DU) only,10,3,RJ
(D1+DU) only,11,0,RJ
(D1+R) only,1,0,RJ
(D1+R) only,2,17,RJ
(D1+R) only,3,7059,RJ
(D1+R) only,4,23021,RJ
(D1+R) only,5,25785,RJ
(D1+R) only,6,28391,RJ
(D1+R) only,7,33694,RJ
(D1+R) only,8,45970,RJ
(D1+R) only,9,26265,RJ
(D1+R) only,10,13348,RJ
(D1+R) only,11,2570,RJ
(D2+DU) only,1,0,RJ
(D2+DU) only,2,0,RJ
(D2+DU) only,3,18,RJ
(D2+DU) only,4,650,RJ
(D2+DU) only,5,844,RJ
(D2+DU) only,6,2297,RJ
(D2+DU) only,7,325,RJ
(D2+DU) only,8,25,RJ
(D2+DU) only,9,8,RJ
(D2+DU) only,10,3,RJ
(D2+DU) only,11,0,RJ
(D2+R+DU) only,1,0,RJ
(D2+R+DU) only,2,0,RJ
(D2+R+DU) only,3,0,RJ
(D2+R+DU) only,4,33,RJ
(D2+R+DU) only,5,32,RJ
(D2+R+DU) only,6,102,RJ
(D2+R+DU) only,7,29,RJ
(D2+R+DU) only,8,2,RJ
(D2+R+DU) only,9,1,RJ
(D2+R+DU) only,10,0,RJ
(D2+R+DU) only,11,1,RJ
(R+DU) only,1,0,RJ
(R+DU) only,2,1,RJ
(R+DU) only,3,25,RJ
(R+DU) only,4,9369,RJ
(R+DU) only,5,18503,RJ
(R+DU) only,6,72412,RJ
(R+DU) only,7,12073,RJ
(R+DU) only,8,700,RJ
(R+DU) only,9,162,RJ
(R+DU) only,10,34,RJ
(R+DU) only,11,4,RJ
D1 only,1,105,RJ
D1 only,2,149336,RJ
D1 only,3,466334,RJ
D1 only,4,673153,RJ
D1 only,5,401784,RJ
D1 only,6,283783,RJ
D1 only,7,185640,RJ
D1 only,8,90850,RJ
D1 only,9,37482,RJ
D1 only,10,22515,RJ
D1 only,11,6263,RJ
D1+D2+DU+R,1,0,RJ
D1+D2+DU+R,2,0,RJ
D1+D2+DU+R,3,0,RJ
D1+D2+DU+R,4,4,RJ
D1+D2+DU+R,5,12,RJ
D1+D2+DU+R,6,23,RJ
D1+D2+DU+R,7,13,RJ
D1+D2+DU+R,8,19,RJ
D1+D2+DU+R,9,51,RJ
D1+D2+DU+R,10,6,RJ
D1+D2+DU+R,11,9,RJ
DU only,1,2,RJ
DU only,2,10,RJ
DU only,3,399,RJ
DU only,4,31504,RJ
DU only,5,47765,RJ
DU only,6,134640,RJ
DU only,7,31782,RJ
DU only,8,3590,RJ
DU only,9,863,RJ
DU only,10,258,RJ
DU only,11,53,RJ
R+DU,1,0,RJ
R+DU,2,0,RJ
R+DU,3,0,RJ
R+DU,4,13,RJ
R+DU,5,24,RJ
R+DU,6,52,RJ
R+DU,7,32,RJ
R+DU,8,47,RJ
R+DU,9,3,RJ
R+DU,10,0,RJ
R+DU,11,0,RJ
(D1+D2) only,1,23,RN
(D1+D2) only,2,173,RN
(D1+D2) only,3,176464,RN
(D1+D2) only,4,416882,RN
(D1+D2) only,5,327957,RN
(D1+D2) only,6,234198,RN
(D1+D2) only,7,164963,RN
(D1+D2) only,8,67808,RN
(D1+D2) only,9,28480,RN
(D1+D2) only,10,15397,RN
(D1+D2) only,11,3944,RN
(D1+D2+DU) only,1,0,RN
(D1+D2+DU) only,2,0,RN
(D1+D2+DU) only,3,113,RN
(D1+D2+DU) only,4,33,RN
(D1+D2+DU) only,5,36,RN
(D1+D2+DU) only,6,21,RN
(D1+D2+DU) only,7,12,RN
(D1+D2+DU) only,8,3,RN
(D1+D2+DU) only,9,0,RN
(D1+D2+DU) only,10,0,RN
(D1+D2+DU) only,11,0,RN
(D1+D2+R) only,1,0,RN
(D1+D2+R) only,2,2,RN
(D1+D2+R) only,3,303,RN
(D1+D2+R) only,4,83666,RN
(D1+D2+R) only,5,123638,RN
(D1+D2+R) only,6,152996,RN
(D1+D2+R) only,7,180970,RN
(D1+D2+R) only,8,167116,RN
(D1+D2+R) only,9,111583,RN
(D1+D2+R) only,10,43984,RN
(D1+D2+R) only,11,10168,RN
(D1+DU) only,1,0,RN
(D1+DU) only,2,0,RN
(D1+DU) only,3,23,RN
(D1+DU) only,4,12,RN
(D1+DU) only,5,12,RN
(D1+DU) only,6,10,RN
(D1+DU) only,7,4,RN
(D1+DU) only,8,0,RN
(D1+DU) only,9,0,RN
(D1+DU) only,10,0,RN
(D1+DU) only,11,0,RN
(D1+R) only,1,0,RN
(D1+R) only,2,1,RN
(D1+R) only,3,529,RN
(D1+R) only,4,2566,RN
(D1+R) only,5,2942,RN
(D1+R) only,6,2878,RN
(D1+R) only,7,2872,RN
(D1+R) only,8,2748,RN
(D1+R) only,9,2134,RN
(D1+R) only,10,793,RN
(D1+R) only,11,214,RN
(D2+DU) only,1,0,RN
(D2+DU) only,2,0,RN
(D2+DU) only,3,3,RN
(D2+DU) only,4,13,RN
(D2+DU) only,5,25,RN
(D2+DU) only,6,28,RN
(D2+DU) only,7,14,RN
(D2+DU) only,8,1,RN
(D2+DU) only,9,1,RN
(D2+DU) only,10,0,RN
(D2+DU) only,11,0,RN
(D2+R+DU) only,1,0,RN
(D2+R+DU) only,2,0,RN
(D2+R+DU) only,3,0,RN
(D2+R+DU) only,4,2,RN
(D2+R+DU) only,5,9,RN
(D2+R+DU) only,6,4,RN
(D2+R+DU) only,7,2,RN
(D2+R+DU) only,8,0,RN
(D2+R+DU) only,9,0,RN
(D2+R+DU) only,10,0,RN
(D2+R+DU) only,11,0,RN
(R+DU) only,1,0,RN
(R+DU) only,2,0,RN
(R+DU) only,3,2,RN
(R+DU) only,4,2559,RN
(R+DU) only,5,8748,RN
(R+DU) only,6,15169,RN
(R+DU) only,7,4110,RN
(R+DU) only,8,200,RN
(R+DU) only,9,52,RN
(R+DU) only,10,18,RN
(R+DU) only,11,1,RN
D1 only,1,36,RN
D1 only,2,55647,RN
D1 only,3,84830,RN
D1 only,4,95781,RN
D1 only,5,54968,RN
D1 only,6,33892,RN
D1 only,7,20108,RN
D1 only,8,7597,RN
D1 only,9,3127,RN
D1 only,10,2187,RN
D1 only,11,650,RN
D1+D2+DU+R,1,0,RN
D1+D2+DU+R,2,0,RN
D1+D2+DU+R,3,0,RN
D1+D2+DU+R,4,1,RN
D1+D2+DU+R,5,3,RN
D1+D2+DU+R,6,3,RN
D1+D2+DU+R,7,3,RN
D1+D2+DU+R,8,1,RN
D1+D2+DU+R,9,1,RN
D1+D2+DU+R,10,3,RN
D1+D2+DU+R,11,1,RN
DU only,1,0,RN
DU only,2,30,RN
DU only,3,21,RN
DU only,4,3901,RN
DU only,5,7361,RN
DU only,6,11187,RN
DU only,7,3753,RN
DU only,8,472,RN
DU only,9,127,RN
DU only,10,47,RN
DU only,11,6,RN
R+DU,1,0,RN
R+DU,2,0,RN
R+DU,3,0,RN
R+DU,4,7,RN
R+DU,5,5,RN
R+DU,6,8,RN
R+DU,7,1,RN
R+DU,8,0,RN
R+DU,9,0,RN
R+DU,10,0,RN
R+DU,11,0,RN
(D1+D2) only,1,2,RO
(D1+D2) only,2,153,RO
(D1+D2) only,3,94924,RO
(D1+D2) only,4,194852,RO
(D1+D2) only,5,160179,RO
(D1+D2) only,6,132281,RO
(D1+D2) only,7,100849,RO
(D1+D2) only,8,43101,RO
(D1+D2) only,9,15722,RO
(D1+D2) only,10,6525,RO
(D1+D2) only,11,1276,RO
(D1+D2+DU) only,1,0,RO
(D1+D2+DU) only,2,0,RO
(D1+D2+DU) only,3,7,RO
(D1+D2+DU) only,4,985,RO
(D1+D2+DU) only,5,1493,RO
(D1+D2+DU) only,6,1723,RO
(D1+D2+DU) only,7,1830,RO
(D1+D2+DU) only,8,2533,RO
(D1+D2+DU) only,9,2002,RO
(D1+D2+DU) only,10,637,RO
(D1+D2+DU) only,11,63,RO
(D1+D2+R) only,1,0,RO
(D1+D2+R) only,2,2,RO
(D1+D2+R) only,3,243,RO
(D1+D2+R) only,4,22461,RO
(D1+D2+R) only,5,32576,RO
(D1+D2+R) only,6,39451,RO
(D1+D2+R) only,7,46163,RO
(D1+D2+R) only,8,56171,RO
(D1+D2+R) only,9,29446,RO
(D1+D2+R) only,10,9739,RO
(D1+D2+R) only,11,1175,RO
(D1+DU) only,1,0,RO
(D1+DU) only,2,0,RO
(D1+DU) only,3,4,RO
(D1+DU) only,4,43,RO
(D1+DU) only,5,41,RO
(D1+DU) only,6,45,RO
(D1+DU) only,7,40,RO
(D1+DU) only,8,54,RO
