week,agegroup,dose,n,UF
2021-02-13,7,D,0,AC
2021-02-13,8,D,0,AC
2021-02-13,9,D,0,AC
2021-02-13,10,D,0,AC
2021-02-13,11,D,0,AC
2021-02-13,2,D2,0,AC
2021-02-13,3,D2,0,AC
2021-02-13,4,D2,143,AC
2021-02-13,5,D2,171,AC
2021-02-13,6,D2,147,AC
2021-02-13,7,D2,102,AC
2021-02-13,8,D2,34,AC
2021-02-13,9,D2,24,AC
2021-02-13,10,D2,9,AC
2021-02-13,11,D2,0,AC
2021-02-13,2,D1,3,AC
2021-02-13,3,D1,4,AC
2021-02-13,4,D1,324,AC
2021-02-13,5,D1,534,AC
2021-02-13,6,D1,487,AC
2021-02-13,7,D1,332,AC
2021-02-13,8,D1,109,AC
2021-02-13,9,D1,53,AC
2021-02-13,10,D1,353,AC
2021-02-13,11,D1,613,AC
2021-02-20,2,Dcum,0,AC
2021-02-20,3,Dcum,0,AC
2021-02-20,4,Dcum,0,AC
2021-02-20,5,Dcum,0,AC
2021-02-20,6,Dcum,0,AC
2021-02-20,7,Dcum,0,AC
2021-02-20,8,Dcum,0,AC
2021-02-20,9,Dcum,0,AC
2021-02-20,10,Dcum,0,AC
2021-02-20,11,Dcum,0,AC
2021-02-20,2,D2cum,0,AC
2021-02-20,3,D2cum,2,AC
2021-02-20,4,D2cum,1291,AC
2021-02-20,5,D2cum,1623,AC
2021-02-20,6,D2cum,1355,AC
2021-02-20,7,D2cum,752,AC
2021-02-20,8,D2cum,259,AC
2021-02-20,9,D2cum,135,AC
2021-02-20,10,D2cum,67,AC
2021-02-20,11,D2cum,22,AC
2021-02-20,2,D1cum,12,AC
2021-02-20,3,D1cum,24,AC
2021-02-20,4,D1cum,2988,AC
2021-02-20,5,D1cum,3895,AC
2021-02-20,6,D1cum,3405,AC
2021-02-20,7,D1cum,1920,AC
2021-02-20,8,D1cum,679,AC
2021-02-20,9,D1cum,366,AC
2021-02-20,10,D1cum,1704,AC
2021-02-20,11,D1cum,1071,AC
2021-02-20,2,D,0,AC
2021-02-20,3,D,0,AC
2021-02-20,4,D,0,AC
2021-02-20,5,D,0,AC
2021-02-20,6,D,0,AC
2021-02-20,7,D,0,AC
2021-02-20,8,D,0,AC
2021-02-20,9,D,0,AC
2021-02-20,10,D,0,AC
2021-02-20,11,D,0,AC
2021-02-20,2,D2,0,AC
2021-02-20,3,D2,1,AC
2021-02-20,4,D2,1116,AC
2021-02-20,5,D2,1441,AC
2021-02-20,6,D2,1182,AC
2021-02-20,7,D2,630,AC
2021-02-20,8,D2,222,AC
2021-02-20,9,D2,104,AC
2021-02-20,10,D2,52,AC
2021-02-20,11,D2,21,AC
2021-02-20,2,D1,2,AC
2021-02-20,3,D1,0,AC
2021-02-20,4,D1,-711,AC
2021-02-20,5,D1,-892,AC
2021-02-20,6,D1,-766,AC
2021-02-20,7,D1,-382,AC
2021-02-20,8,D1,-135,AC
2021-02-20,9,D1,-18,AC
2021-02-20,10,D1,937,AC
2021-02-20,11,D1,221,AC
2021-02-27,2,Dcum,0,AC
2021-02-27,3,Dcum,0,AC
2021-02-27,4,Dcum,0,AC
2021-02-27,5,Dcum,0,AC
2021-02-27,6,Dcum,0,AC
2021-02-27,7,Dcum,1,AC
2021-02-27,8,Dcum,0,AC
2021-02-27,9,Dcum,0,AC
2021-02-27,10,Dcum,12,AC
2021-02-27,11,Dcum,4,AC
2021-02-27,2,D2cum,0,AC
2021-02-27,3,D2cum,4,AC
2021-02-27,4,D2cum,2095,AC
2021-02-27,5,D2cum,2643,AC
2021-02-27,6,D2cum,2329,AC
2021-02-27,7,D2cum,1344,AC
2021-02-27,8,D2cum,447,AC
2021-02-27,9,D2cum,203,AC
2021-02-27,10,D2cum,142,AC
2021-02-27,11,D2cum,63,AC
2021-02-27,2,D1cum,13,AC
2021-02-27,3,D1cum,25,AC
2021-02-27,4,D1cum,2551,AC
2021-02-27,5,D1cum,3203,AC
2021-02-27,6,D1cum,2724,AC
2021-02-27,7,D1cum,1502,AC
2021-02-27,8,D1cum,583,AC
2021-02-27,9,D1cum,3965,AC
2021-02-27,10,D1cum,3579,AC
2021-02-27,11,D1cum,1119,AC
2021-02-27,2,D,0,AC
2021-02-27,3,D,0,AC
2021-02-27,4,D,0,AC
2021-02-27,5,D,0,AC
2021-02-27,6,D,0,AC
2021-02-27,7,D,1,AC
2021-02-27,8,D,0,AC
2021-02-27,9,D,0,AC
2021-02-27,10,D,12,AC
2021-02-27,11,D,4,AC
2021-02-27,2,D2,0,AC
2021-02-27,3,D2,2,AC
2021-02-27,4,D2,804,AC
2021-02-27,5,D2,1020,AC
2021-02-27,6,D2,974,AC
2021-02-27,7,D2,592,AC
2021-02-27,8,D2,188,AC
2021-02-27,9,D2,68,AC
2021-02-27,10,D2,75,AC
2021-02-27,11,D2,41,AC
2021-02-27,2,D1,1,AC
2021-02-27,3,D1,1,AC
2021-02-27,4,D1,-437,AC
2021-02-27,5,D1,-692,AC
2021-02-27,6,D1,-681,AC
2021-02-27,7,D1,-418,AC
2021-02-27,8,D1,-96,AC
2021-02-27,9,D1,3599,AC
2021-02-27,10,D1,1875,AC
2021-02-27,11,D1,48,AC
2021-03-06,2,Dcum,0,AC
2021-03-06,3,Dcum,0,AC
2021-03-06,4,Dcum,0,AC
