vacina,agegroup,data,doses,ag_10,ag_child
Coronavac,2,2021-01-19,3,0,
Coronavac,2,2021-01-19,4,0,
Coronavac,2,2021-01-19,D,0,
Coronavac,2,2021-01-19,D1,37,
Coronavac,2,2021-01-19,D2,0,
Coronavac,2,2021-01-19,DA,0,
Coronavac,2,2021-01-19,R,0,
Pfizer,2,2021-01-19,3,0,0
Pfizer,2,2021-01-19,4,0,0
Pfizer,2,2021-01-19,D,0,0
Pfizer,2,2021-01-19,D1,4,3
Pfizer,2,2021-01-19,D2,1,0
Pfizer,2,2021-01-19,DA,1,0
Pfizer,2,2021-01-19,R,0,0
Coronavac,3,2021-01-19,3,0,
Coronavac,3,2021-01-19,4,0,
Coronavac,3,2021-01-19,D,0,
Coronavac,3,2021-01-19,D1,937,
Coronavac,3,2021-01-19,D2,1,
Coronavac,3,2021-01-19,DA,0,
Coronavac,3,2021-01-19,R,0,
Pfizer,3,2021-01-19,3,0,0
Pfizer,3,2021-01-19,4,0,0
Pfizer,3,2021-01-19,D,0,0
Pfizer,3,2021-01-19,D1,3,1
Pfizer,3,2021-01-19,D2,0,1
Pfizer,3,2021-01-19,DA,1,0
Pfizer,3,2021-01-19,R,2,0
Coronavac,4,2021-01-19,3,0,0
Coronavac,4,2021-01-19,4,0,0
Coronavac,4,2021-01-19,D,0,0
Coronavac,4,2021-01-19,D1,1247,974
Coronavac,4,2021-01-19,D2,3,1
Coronavac,4,2021-01-19,DA,0,0
Coronavac,4,2021-01-19,R,0,0
Pfizer,4,2021-01-19,3,0,0
Pfizer,4,2021-01-19,4,0,0
Pfizer,4,2021-01-19,D,0,0
Pfizer,4,2021-01-19,D1,1,3
Pfizer,4,2021-01-19,D2,0,0
Pfizer,4,2021-01-19,DA,0,2
Pfizer,4,2021-01-19,R,0,2
Coronavac,5,2021-01-19,3,0,0
Coronavac,5,2021-01-19,4,0,0
Coronavac,5,2021-01-19,D,0,0
Coronavac,5,2021-01-19,D1,908,1247
Coronavac,5,2021-01-19,D2,3,3
Coronavac,5,2021-01-19,DA,0,0
Coronavac,5,2021-01-19,R,0,0
Pfizer,5,2021-01-19,3,0,0
Pfizer,5,2021-01-19,4,0,0
Pfizer,5,2021-01-19,D,0,0
Pfizer,5,2021-01-19,D1,3,1
Pfizer,5,2021-01-19,D2,0,0
Pfizer,5,2021-01-19,DA,0,0
Pfizer,5,2021-01-19,R,1,0
Janssen,5,2021-01-19,3,0,
Janssen,5,2021-01-19,4,0,
Janssen,5,2021-01-19,D,1,
Janssen,5,2021-01-19,D1,0,
Janssen,5,2021-01-19,D2,0,
Janssen,5,2021-01-19,DA,0,
Janssen,5,2021-01-19,R,0,
Coronavac,6,2021-01-19,3,0,0
Coronavac,6,2021-01-19,4,0,0
Coronavac,6,2021-01-19,D,0,0
Coronavac,6,2021-01-19,D1,620,908
Coronavac,6,2021-01-19,D2,0,3
Coronavac,6,2021-01-19,DA,0,0
Coronavac,6,2021-01-19,R,0,0
Pfizer,6,2021-01-19,3,0,0
Pfizer,6,2021-01-19,4,0,0
Pfizer,6,2021-01-19,D,0,0
Pfizer,6,2021-01-19,D1,0,3
Pfizer,6,2021-01-19,D2,0,0
Pfizer,6,2021-01-19,DA,0,0
Pfizer,6,2021-01-19,R,1,1
Janssen,6,2021-01-19,3,,0
Janssen,6,2021-01-19,4,,0
Janssen,6,2021-01-19,D,,1
Janssen,6,2021-01-19,D1,,0
Janssen,6,2021-01-19,D2,,0
Janssen,6,2021-01-19,DA,,0
Janssen,6,2021-01-19,R,,0
AZ,7,2021-01-19,3,0,
AZ,7,2021-01-19,4,0,
AZ,7,2021-01-19,D,0,
AZ,7,2021-01-19,D1,1,
AZ,7,2021-01-19,D2,0,
AZ,7,2021-01-19,DA,0,
AZ,7,2021-01-19,R,0,
Coronavac,7,2021-01-19,3,0,0
Coronavac,7,2021-01-19,4,0,0
Coronavac,7,2021-01-19,D,0,0
Coronavac,7,2021-01-19,D1,207,620
Coronavac,7,2021-01-19,D2,1,0
Coronavac,7,2021-01-19,DA,0,0
Coronavac,7,2021-01-19,R,0,0
Pfizer,7,2021-01-19,3,,0
Pfizer,7,2021-01-19,4,,0
Pfizer,7,2021-01-19,D,,0
Pfizer,7,2021-01-19,D1,,0
Pfizer,7,2021-01-19,D2,,0
Pfizer,7,2021-01-19,DA,,0
Pfizer,7,2021-01-19,R,,1
AZ,8,2021-01-19,3,0,0
AZ,8,2021-01-19,4,0,0
AZ,8,2021-01-19,D,0,0
AZ,8,2021-01-19,D1,1,1
AZ,8,2021-01-19,D2,0,0
AZ,8,2021-01-19,DA,0,0
AZ,8,2021-01-19,R,0,0
Coronavac,8,2021-01-19,3,0,0
Coronavac,8,2021-01-19,4,0,0
Coronavac,8,2021-01-19,D,0,0
Coronavac,8,2021-01-19,D1,127,207
Coronavac,8,2021-01-19,D2,1,1
Coronavac,8,2021-01-19,DA,0,0
Coronavac,8,2021-01-19,R,0,0
Pfizer,8,2021-01-19,3,0,
Pfizer,8,2021-01-19,4,0,
Pfizer,8,2021-01-19,D,0,
Pfizer,8,2021-01-19,D1,1,
Pfizer,8,2021-01-19,D2,0,
Pfizer,8,2021-01-19,DA,0,
Pfizer,8,2021-01-19,R,0,
AZ,9,2021-01-19,3,0,0
AZ,9,2021-01-19,4,0,0
AZ,9,2021-01-19,D,0,0
AZ,9,2021-01-19,D1,1,1
AZ,9,2021-01-19,D2,0,0
AZ,9,2021-01-19,DA,0,0
AZ,9,2021-01-19,R,0,0
Coronavac,9,2021-01-19,3,0,0
Coronavac,9,2021-01-19,4,0,0
Coronavac,9,2021-01-19,D,0,0
Coronavac,9,2021-01-19,D1,105,127
Coronavac,9,2021-01-19,D2,1,1
Coronavac,9,2021-01-19,DA,0,0
Coronavac,9,2021-01-19,R,0,0
Pfizer,9,2021-01-19,3,,0
Pfizer,9,2021-01-19,4,,0
Pfizer,9,2021-01-19,D,,0
Pfizer,9,2021-01-19,D1,,1
Pfizer,9,2021-01-19,D2,,0
Pfizer,9,2021-01-19,DA,,0
Pfizer,9,2021-01-19,R,,0
AZ,10,2021-01-19,3,0,0
AZ,10,2021-01-19,4,0,0
AZ,10,2021-01-19,D,0,0
AZ,10,2021-01-19,D1,1,1
AZ,10,2021-01-19,D2,0,0
AZ,10,2021-01-19,DA,0,0
AZ,10,2021-01-19,R,0,0
Coronavac,10,2021-01-19,3,0,0
Coronavac,10,2021-01-19,4,0,0
Coronavac,10,2021-01-19,D,0,0
Coronavac,10,2021-01-19,D1,47,105
Coronavac,10,2021-01-19,D2,0,1
Coronavac,10,2021-01-19,DA,0,0
Coronavac,10,2021-01-19,R,0,0
Pfizer,10,2021-01-19,3,0,
Pfizer,10,2021-01-19,4,0,
Pfizer,10,2021-01-19,D,0,
Pfizer,10,2021-01-19,D1,0,
Pfizer,10,2021-01-19,D2,0,
Pfizer,10,2021-01-19,DA,0,
Pfizer,10,2021-01-19,R,1,
AZ,11,2021-01-19,3,,0
AZ,11,2021-01-19,4,,0
AZ,11,2021-01-19,D,,0
AZ,11,2021-01-19,D1,,1
AZ,11,2021-01-19,D2,,0
AZ,11,2021-01-19,DA,,0
AZ,11,2021-01-19,R,,0
Coronavac,11,2021-01-19,3,,0
Coronavac,11,2021-01-19,4,,0
Coronavac,11,2021-01-19,D,,0
Coronavac,11,2021-01-19,D1,,47
Coronavac,11,2021-01-19,D2,,0
Coronavac,11,2021-01-19,DA,,0
Coronavac,11,2021-01-19,R,,0
Pfizer,11,2021-01-19,3,,0
Pfizer,11,2021-01-19,4,,0
Pfizer,11,2021-01-19,D,,0
Pfizer,11,2021-01-19,D1,,0
Pfizer,11,2021-01-19,D2,,0
Pfizer,11,2021-01-19,DA,,0
Pfizer,11,2021-01-19,R,,1
Coronavac,2,2021-01-20,3,0,
Coronavac,2,2021-01-20,4,0,
Coronavac,2,2021-01-20,D,0,
Coronavac,2,2021-01-20,D1,112,
Coronavac,2,2021-01-20,D2,0,
Coronavac,2,2021-01-20,DA,0,
Coronavac,2,2021-01-20,R,0,
Pfizer,2,2021-01-20,3,0,
Pfizer,2,2021-01-20,4,0,
Pfizer,2,2021-01-20,D,0,
Pfizer,2,2021-01-20,D1,0,
Pfizer,2,2021-01-20,D2,1,
Pfizer,2,2021-01-20,DA,0,
Pfizer,2,2021-01-20,R,0,
AZ,3,2021-01-20,3,0,
AZ,3,2021-01-20,4,0,
AZ,3,2021-01-20,D,0,
AZ,3,2021-01-20,D1,2,
AZ,3,2021-01-20,D2,0,
AZ,3,2021-01-20,DA,0,
AZ,3,2021-01-20,R,0,
Coronavac,3,2021-01-20,3,0,
Coronavac,3,2021-01-20,4,0,
Coronavac,3,2021-01-20,D,0,
Coronavac,3,2021-01-20,D1,2350,
Coronavac,3,2021-01-20,D2,7,
Coronavac,3,2021-01-20,DA,0,
Coronavac,3,2021-01-20,R,0,
Pfizer,3,2021-01-20,3,0,0
Pfizer,3,2021-01-20,4,0,0
Pfizer,3,2021-01-20,D,0,0
Pfizer,3,2021-01-20,D1,0,0
Pfizer,3,2021-01-20,D2,0,1
Pfizer,3,2021-01-20,DA,1,0
Pfizer,3,2021-01-20,R,0,0
Janssen,3,2021-01-20,3,0,
Janssen,3,2021-01-20,4,0,
Janssen,3,2021-01-20,D,1,
Janssen,3,2021-01-20,D1,0,
Janssen,3,2021-01-20,D2,0,
Janssen,3,2021-01-20,DA,0,
Janssen,3,2021-01-20,R,0,
AZ,4,2021-01-20,3,,0
AZ,4,2021-01-20,4,,0
AZ,4,2021-01-20,D,,0
AZ,4,2021-01-20,D1,,2
AZ,4,2021-01-20,D2,,0
AZ,4,2021-01-20,DA,,0
AZ,4,2021-01-20,R,,0
Coronavac,4,2021-01-20,3,0,0
Coronavac,4,2021-01-20,4,0,0
Coronavac,4,2021-01-20,D,0,0
Coronavac,4,2021-01-20,D1,3143,2462
Coronavac,4,2021-01-20,D2,17,7
Coronavac,4,2021-01-20,DA,0,0
Coronavac,4,2021-01-20,R,0,0
Pfizer,4,2021-01-20,3,0,0
Pfizer,4,2021-01-20,4,0,0
Pfizer,4,2021-01-20,D,0,0
Pfizer,4,2021-01-20,D1,1,0
Pfizer,4,2021-01-20,D2,0,0
Pfizer,4,2021-01-20,DA,1,1
Pfizer,4,2021-01-20,R,0,0
Janssen,4,2021-01-20,3,,0
Janssen,4,2021-01-20,4,,0
Janssen,4,2021-01-20,D,,1
Janssen,4,2021-01-20,D1,,0
Janssen,4,2021-01-20,D2,,0
Janssen,4,2021-01-20,DA,,0
Janssen,4,2021-01-20,R,,0
AZ,5,2021-01-20,3,0,
AZ,5,2021-01-20,4,0,
AZ,5,2021-01-20,D,0,
AZ,5,2021-01-20,D1,2,
AZ,5,2021-01-20,D2,0,
AZ,5,2021-01-20,DA,0,
AZ,5,2021-01-20,R,0,
Coronavac,5,2021-01-20,3,0,0
Coronavac,5,2021-01-20,4,0,0
Coronavac,5,2021-01-20,D,0,0
Coronavac,5,2021-01-20,D1,2373,3143
Coronavac,5,2021-01-20,D2,4,17
Coronavac,5,2021-01-20,DA,0,0
Coronavac,5,2021-01-20,R,0,0
Pfizer,5,2021-01-20,3,0,0
Pfizer,5,2021-01-20,4,0,0
Pfizer,5,2021-01-20,D,0,0
Pfizer,5,2021-01-20,D1,3,1
Pfizer,5,2021-01-20,D2,0,0
Pfizer,5,2021-01-20,DA,0,1
Pfizer,5,2021-01-20,R,2,0
AZ,6,2021-01-20,3,0,0
AZ,6,2021-01-20,4,0,0
AZ,6,2021-01-20,D,0,0
AZ,6,2021-01-20,D1,2,2
AZ,6,2021-01-20,D2,0,0
AZ,6,2021-01-20,DA,0,0
AZ,6,2021-01-20,R,0,0
Coronavac,6,2021-01-20,3,0,0
Coronavac,6,2021-01-20,4,0,0
Coronavac,6,2021-01-20,D,0,0
Coronavac,6,2021-01-20,D1,1401,2373
Coronavac,6,2021-01-20,D2,2,4
Coronavac,6,2021-01-20,DA,0,0
Coronavac,6,2021-01-20,R,0,0
Pfizer,6,2021-01-20,3,0,0
Pfizer,6,2021-01-20,4,0,0
Pfizer,6,2021-01-20,D,0,0
Pfizer,6,2021-01-20,D1,2,3
Pfizer,6,2021-01-20,D2,0,0
Pfizer,6,2021-01-20,DA,0,0
Pfizer,6,2021-01-20,R,1,2
AZ,7,2021-01-20,3,0,0
AZ,7,2021-01-20,4,0,0
AZ,7,2021-01-20,D,0,0
AZ,7,2021-01-20,D1,3,2
AZ,7,2021-01-20,D2,0,0
AZ,7,2021-01-20,DA,0,0
AZ,7,2021-01-20,R,0,0
Coronavac,7,2021-01-20,3,0,0
Coronavac,7,2021-01-20,4,0,0
Coronavac,7,2021-01-20,D,0,0
Coronavac,7,2021-01-20,D1,448,1401
Coronavac,7,2021-01-20,D2,2,2
Coronavac,7,2021-01-20,DA,0,0
Coronavac,7,2021-01-20,R,0,0
Pfizer,7,2021-01-20,3,0,0
Pfizer,7,2021-01-20,4,0,0
Pfizer,7,2021-01-20,D,0,0
Pfizer,7,2021-01-20,D1,0,2
Pfizer,7,2021-01-20,D2,0,0
Pfizer,7,2021-01-20,DA,1,0
Pfizer,7,2021-01-20,R,0,1
AZ,8,2021-01-20,3,0,0
AZ,8,2021-01-20,4,0,0
AZ,8,2021-01-20,D,0,0
AZ,8,2021-01-20,D1,4,3
AZ,8,2021-01-20,D2,0,0
AZ,8,2021-01-20,DA,0,0
AZ,8,2021-01-20,R,0,0
Coronavac,8,2021-01-20,3,0,0
Coronavac,8,2021-01-20,4,0,0
Coronavac,8,2021-01-20,D,0,0
Coronavac,8,2021-01-20,D1,154,448
Coronavac,8,2021-01-20,D2,18,2
Coronavac,8,2021-01-20,DA,0,0
Coronavac,8,2021-01-20,R,0,0
Pfizer,8,2021-01-20,3,,0
Pfizer,8,2021-01-20,4,,0
Pfizer,8,2021-01-20,D,,0
Pfizer,8,2021-01-20,D1,,0
Pfizer,8,2021-01-20,D2,,0
Pfizer,8,2021-01-20,DA,,1
Pfizer,8,2021-01-20,R,,0
AZ,9,2021-01-20,3,0,0
AZ,9,2021-01-20,4,0,0
AZ,9,2021-01-20,D,0,0
AZ,9,2021-01-20,D1,14,4
AZ,9,2021-01-20,D2,0,0
AZ,9,2021-01-20,DA,0,0
AZ,9,2021-01-20,R,0,0
Coronavac,9,2021-01-20,3,0,0
Coronavac,9,2021-01-20,4,0,0
Coronavac,9,2021-01-20,D,0,0
Coronavac,9,2021-01-20,D1,96,154
Coronavac,9,2021-01-20,D2,3,18
Coronavac,9,2021-01-20,DA,0,0
Coronavac,9,2021-01-20,R,0,0
Pfizer,9,2021-01-20,3,0,
Pfizer,9,2021-01-20,4,0,
Pfizer,9,2021-01-20,D,0,
Pfizer,9,2021-01-20,D1,0,
Pfizer,9,2021-01-20,D2,0,
Pfizer,9,2021-01-20,DA,1,
Pfizer,9,2021-01-20,R,0,
AZ,10,2021-01-20,3,0,0
AZ,10,2021-01-20,4,0,0
AZ,10,2021-01-20,D,0,0
AZ,10,2021-01-20,D1,11,14
AZ,10,2021-01-20,D2,0,0
AZ,10,2021-01-20,DA,0,0
AZ,10,2021-01-20,R,0,0
Coronavac,10,2021-01-20,3,0,0
Coronavac,10,2021-01-20,4,0,0
Coronavac,10,2021-01-20,D,0,0
Coronavac,10,2021-01-20,D1,37,96
Coronavac,10,2021-01-20,D2,0,3
Coronavac,10,2021-01-20,DA,0,0
Coronavac,10,2021-01-20,R,0,0
Pfizer,10,2021-01-20,3,,0
Pfizer,10,2021-01-20,4,,0
Pfizer,10,2021-01-20,D,,0
Pfizer,10,2021-01-20,D1,,0
Pfizer,10,2021-01-20,D2,,0
Pfizer,10,2021-01-20,DA,,1
Pfizer,10,2021-01-20,R,,0
AZ,11,2021-01-20,3,,0
AZ,11,2021-01-20,4,,0
AZ,11,2021-01-20,D,,0
AZ,11,2021-01-20,D1,,11
AZ,11,2021-01-20,D2,,0
AZ,11,2021-01-20,DA,,0
AZ,11,2021-01-20,R,,0
Coronavac,11,2021-01-20,3,,0
Coronavac,11,2021-01-20,4,,0
Coronavac,11,2021-01-20,D,,0
Coronavac,11,2021-01-20,D1,,37
Coronavac,11,2021-01-20,D2,,0
Coronavac,11,2021-01-20,DA,,0
Coronavac,11,2021-01-20,R,,0
Coronavac,1,2021-01-21,3,0,
Coronavac,1,2021-01-21,4,0,
Coronavac,1,2021-01-21,D,0,
Coronavac,1,2021-01-21,D1,1,
Coronavac,1,2021-01-21,D2,0,
Coronavac,1,2021-01-21,DA,0,
Coronavac,1,2021-01-21,R,0,
Coronavac,2,2021-01-21,3,0,0
Coronavac,2,2021-01-21,4,0,0
Coronavac,2,2021-01-21,D,0,0
