vacina,agegroup,agegroup_10,data,doses,n
AZ,2,2,2021-04-16,D1,1
AZ,2,2,2021-04-16,D2,0
AZ,2,2,2021-04-16,DU,0
AZ,2,2,2021-04-16,R,0
AZ,2,2,2021-04-18,D1,1
AZ,2,2,2021-04-18,D2,0
AZ,2,2,2021-04-18,DU,0
AZ,2,2,2021-04-18,R,0
AZ,2,2,2021-04-20,D1,1
AZ,2,2,2021-04-20,D2,0
AZ,2,2,2021-04-20,DU,0
AZ,2,2,2021-04-20,R,0
AZ,2,2,2021-04-21,D1,4
AZ,2,2,2021-04-21,D2,0
AZ,2,2,2021-04-21,DU,0
AZ,2,2,2021-04-21,R,0
AZ,2,2,2021-04-22,D1,3
AZ,2,2,2021-04-22,D2,1
AZ,2,2,2021-04-22,DU,0
AZ,2,2,2021-04-22,R,0
AZ,2,2,2021-04-23,D1,2
AZ,2,2,2021-04-23,D2,1
AZ,2,2,2021-04-23,DU,0
AZ,2,2,2021-04-23,R,0
AZ,2,2,2021-04-24,D1,1
AZ,2,2,2021-04-24,D2,0
AZ,2,2,2021-04-24,DU,0
AZ,2,2,2021-04-24,R,0
AZ,2,2,2021-04-26,D1,1
AZ,2,2,2021-04-26,D2,2
AZ,2,2,2021-04-26,DU,0
AZ,2,2,2021-04-26,R,0
AZ,2,2,2021-04-28,D1,1
AZ,2,2,2021-04-28,D2,0
AZ,2,2,2021-04-28,DU,0
AZ,2,2,2021-04-28,R,0
AZ,2,2,2021-04-29,D1,6
AZ,2,2,2021-04-29,D2,1
AZ,2,2,2021-04-29,DU,0
AZ,2,2,2021-04-29,R,0
AZ,2,2,2021-05-01,D1,1
AZ,2,2,2021-05-01,D2,0
AZ,2,2,2021-05-01,DU,0
AZ,2,2,2021-05-01,R,0
AZ,2,2,2021-05-03,D1,2
AZ,2,2,2021-05-03,D2,0
AZ,2,2,2021-05-03,DU,0
AZ,2,2,2021-05-03,R,0
AZ,2,2,2021-05-04,D1,3
AZ,2,2,2021-05-04,D2,0
AZ,2,2,2021-05-04,DU,0
AZ,2,2,2021-05-04,R,0
AZ,2,2,2021-05-05,D1,5
AZ,2,2,2021-05-05,D2,0
AZ,2,2,2021-05-05,DU,0
AZ,2,2,2021-05-05,R,0
AZ,2,2,2021-05-06,D1,7
AZ,2,2,2021-05-06,D2,0
AZ,2,2,2021-05-06,DU,0
AZ,2,2,2021-05-06,R,0
AZ,2,2,2021-05-07,D1,6
AZ,2,2,2021-05-07,D2,0
AZ,2,2,2021-05-07,DU,0
AZ,2,2,2021-05-07,R,0
AZ,2,2,2021-05-08,D1,2
AZ,2,2,2021-05-08,D2,0
AZ,2,2,2021-05-08,DU,0
AZ,2,2,2021-05-08,R,0
AZ,2,2,2021-05-10,D1,0
AZ,2,2,2021-05-10,D2,1
AZ,2,2,2021-05-10,DU,0
AZ,2,2,2021-05-10,R,0
AZ,2,2,2021-05-11,D1,1
AZ,2,2,2021-05-11,D2,0
AZ,2,2,2021-05-11,DU,0
AZ,2,2,2021-05-11,R,0
AZ,2,2,2021-05-12,D1,5
AZ,2,2,2021-05-12,D2,0
AZ,2,2,2021-05-12,DU,0
AZ,2,2,2021-05-12,R,0
AZ,2,2,2021-05-13,D1,2
AZ,2,2,2021-05-13,D2,0
